country,sampling_id,lon,lat,air_pollutant,iso_code
France,SPO-FR20013_6001,4.81816,45.72002,PM2.5,FR
France,SPO-FR20013_6001,4.81816,45.72002,PM2.5,FR
France,SPO-FR20013_6001,4.81816,45.72002,PM2.5,FR
France,SPO-FR20013_6001,4.81816,45.72002,PM2.5,FR
France,SPO-FR20017_5,4.82979,45.73529,PM10,FR
France,SPO-FR20017_5,4.82979,45.73529,PM10,FR
France,SPO-FR20017_5,4.82979,45.73529,PM10,FR
France,SPO-FR20017_6001,4.82979,45.73529,PM2.5,FR
France,SPO-FR20019_5,4.88621,45.75836,PM10,FR
France,SPO-FR20029_5,4.84590,45.66390,PM10,FR
France,SPO-FR20029_5,4.84590,45.66390,PM10,FR
France,SPO-FR20029_5,4.84590,45.66390,PM10,FR
France,SPO-FR20029_5,4.84590,45.66390,PM10,FR
France,SPO-FR20031_5,4.86440,45.70780,PM10,FR
France,SPO-FR20031_5,4.86440,45.70780,PM10,FR
France,SPO-FR20037_5,4.80220,45.60190,PM10,FR
France,SPO-FR20037_5,4.80220,45.60190,PM10,FR
France,SPO-FR20037_5,4.80220,45.60190,PM10,FR
France,SPO-FR20037_6001,4.80220,45.60190,PM2.5,FR
France,SPO-FR20045_5,4.98030,45.73170,PM10,FR
France,SPO-FR20045_5,4.98030,45.73170,PM10,FR
France,SPO-FR20046_5,4.92470,45.77890,PM10,FR
France,SPO-FR20046_5,4.92470,45.77890,PM10,FR
France,SPO-FR20046_5,4.92470,45.77890,PM10,FR
France,SPO-FR20046_6001,4.92470,45.77890,PM2.5,FR
France,SPO-FR20046_6001,4.92470,45.77890,PM2.5,FR
France,SPO-FR20046_6001,4.92470,45.77890,PM2.5,FR
France,SPO-FR20046_6001,4.92470,45.77890,PM2.5,FR
France,SPO-FR20046_6001,4.92470,45.77890,PM2.5,FR
France,SPO-FR20046_6001,4.92470,45.77890,PM2.5,FR
France,SPO-FR20047_5,4.95396,45.82322,PM10,FR
France,SPO-FR20047_5,4.95396,45.82322,PM10,FR
France,SPO-FR20047_5,4.95396,45.82322,PM10,FR
France,SPO-FR20048_5,5.07220,45.75330,PM10,FR
France,SPO-FR20048_5,5.07220,45.75330,PM10,FR
France,SPO-FR20048_5,5.07220,45.75330,PM10,FR
France,SPO-FR20048_6001,5.07220,45.75330,PM2.5,FR
France,SPO-FR20061_5,4.71964,45.98622,PM10,FR
France,SPO-FR20061_5,4.71964,45.98622,PM10,FR
France,SPO-FR20061_6001,4.71964,45.98622,PM2.5,FR
France,SPO-FR20062_5,4.85421,45.75773,PM10,FR
